"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","LCSC","Manufacturer","Mauser","Part","Description"
"C1,C12","2","22u","","","","C7432786","Chinocera",""," HGC1206R5226M250NSPJ","22uF ±20% 25V Ceramic Capacitor X5R 1206"
"C2,C3,C4,C5,C6,C10,C14,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C43","21","100n","","","","C6119867","muRata","","CGA0603X7R104K500JT","100nF ±10% 50V Ceramic Capacitor X7R 0603"
"C7","1","4.7u","","","","C77096","muRata","","GRM31CR71H475KA12L","4.7uF ±10% 50V Ceramic Capacitor X7R 1206"
"C8,C9,C13,C34,C44,C45,C46","7","10u","","","","C440198","muRata","","GRM21BR61H106KE43L","10uF ±10% 50V Ceramic Capacitor X5R 0805"
"C11","1","47p","","","","C5137501","FOJAN","","FCC0603N470J500CT","47pF ±5% 50V Ceramic Capacitor C0G 0603"
"C15,C16,C19,C20","4","4.7u","","","","C19666","Samsung Electro-Mechanics","","CL10A475KO8NNNC","4.7uF ±10% 16V Ceramic Capacitor X5R 0603"
"C17,C18","2","15p","","","","C519483","YAGEO","","CC0603FRNPO9BN150","15pF ±1% 50V Ceramic Capacitor NP0 0603"
"C36,C37,C41","3","1u","","","","C1848","Samsung Electro-Mechanics","","CL31B105KBHNNNE","1uF ±10% 50V Ceramic Capacitor X7R 1206"
"C38","1","470u","","","","C22469994","FOLLON","","EFVM050ADA471M10C0","470uF ±20% 50V Aluminum Electrolytic Capacitors"
"C39","1","33n","","","","C21117","Samsung Electro-Mechanics","","CL10B333KB8NNNC","33nF ±10% 50V Ceramic Capacitor X7R 0603"
"C40","1","1000u","","","","C88743","rubycon","","35YXJ1000M12.5X20","1000uF 35V Aluminum Electrolytic Capacitors Through Hole,D12.5xL20mm 10000hrs@105℃"
"D1","1","PESD1IVN24-AX","","","","C503381","Nexperia","","PESD1IVN24-AX","42VC Clamp 3.5A@8/20us Ipp ESD DIODE SOD-323"
"D2","1","MMSZ4706_C3031903","","","","C3031903","CJ","","MMSZ4706","Zener Diode Independent 19V 500mW Surface Mount SOD-123"
"D3","1","TPD4E05U06DQAR_C2827646","","","","C2827646","TECH PUBLIC","","TPD4E05U06DQAR","13VC Clamp 5A Ipp ESD DIODE USON-10(1x2.5)"
"D4","1","MBR2045DCT","","","","C42402358","BORN","","MBR2045DCT","Diode 45V 20A Surface Mount TO-252"
"J1","1","DC-044K-D025","","","","C963204","G-Switch","","DC-044K-D025","Power Barrel Connector Jack 2.5mm ID 6mm OD Through Hole, Right Angle"
"J2","1","TYPE-C 16PIN 2MD","","","","C2765186","SHOU HAN(首韩)","","TYPE-C 16PIN 2MD(073)","USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle"
"J4","1","KF301-5.0-2P","","","","C474881","KEFA","","KF301-5.0-2P","2 Position Wire to Board Terminal Block Through Hole 5mm"
"J5,J8","2","2510-4A","","","","C2847671","CAX","","2510-4A","Connector Header 4 position 2.54mm Pitch 3A Through Hole -25℃~+85℃"
"J6,J9","2","ZX-XH2.54-3PZZ","","","","C7429633","Megastar","","ZX-XH2.54-3PZZ","Connector Header 3 position 2.5mm Pitch 3A Through Hole -25℃~+85℃"
"L1","1","22u","","","","C780213","BOURNS","","SRN6045-220M","1.5A 22uH 142mΩ 1.9A ±20% SMD,6x6mm Fixed Inductors RoHS"
"L2","1","10u","","","","C476261","BOURNS","","SRN6045-100M","2.5A 10uH 3A 58.6mΩ ±20% SMD,6x6mm Fixed Inductors RoHS"
"L3","1","3.3u","","","","C42411119","ABRACON","","AOTA-B201610S3R3-101-T","2.1A 3.3uH 115mΩ 2.4A Molded Inductor 0806 Fixed Inductors RoHS"
"L4","1","47u","","","","C5119635","PROD","","PDPMAA1712-470MP","8A 47uH ±20% 32mΩ 14A Through Hole,P=13mm Fixed Inductors RoHS"
"Q1","1","DMP3013SFV-7","","","","C264098 ","Diodes","","DMP3013SFV-7","P-Channel 30V 35A 1.94W Surface Mount PowerDI3333-8"
